convolution_part,convolution_hyperparameter,dense_part,dense_hyperparameter,input_shape,layer_metadata,loss,accuracy,precision,recall,f1score,auc,train_loss,train_accuracy,train_precision,train_recall,train_f1score,train_auc
"['conv1d', 'conv1d', 'conv1d', 'conv1d']","[{'filters': 8, 'kernel_size': 2, 'activation': 'relu'}, {'filters': 4, 'kernel_size': 2, 'activation': 'relu'}, {'filters': 8, 'kernel_size': 3, 'activation': 'relu'}, {'filters': 16, 'kernel_size': 3, 'activation': 'relu'}]",['dense'],"[{'units': 4, 'activation': 'relu'}]","(85, 1)","[{'layer': 'conv1d', 'hyperparameter': [{'param': 'filters', 'type': <class 'int'>, 'default': 16}, {'param': 'kernel_size', 'type': <class 'int'>, 'default': 3}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}, {'layer': 'maxpooling1d', 'hyperparameter': [{'param': 'pool_size', 'type': <class 'int'>, 'default': 2}]}, {'layer': 'flatten', 'hyperparameter': []}, {'layer': 'dense', 'hyperparameter': [{'param': 'units', 'type': <class 'int'>, 'default': 8}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}]",0.09930091351270676,0.967492550611496,0.8273809552192688,0.5007440596818924,0.4812496304512024,0.9672886827762731,0.04099321970716119,0.967492550611496,0.8392857015132904,0.4829670414328575,0.5007440447807312,0.986622235860632
"['conv1d', 'conv1d', 'maxpooling1d', 'conv1d']","[{'filters': 16, 'kernel_size': 3, 'activation': 'relu'}, {'filters': 2, 'kernel_size': 3, 'activation': 'relu'}, {'pool_size': 2}, {'filters': 4, 'kernel_size': 2, 'activation': 'relu'}]","['dense', 'dense']","[{'units': 4, 'activation': 'relu'}, {'units': 2, 'activation': 'relu'}]","(85, 1)","[{'layer': 'conv1d', 'hyperparameter': [{'param': 'filters', 'type': <class 'int'>, 'default': 16}, {'param': 'kernel_size', 'type': <class 'int'>, 'default': 3}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}, {'layer': 'maxpooling1d', 'hyperparameter': [{'param': 'pool_size', 'type': <class 'int'>, 'default': 2}]}, {'layer': 'flatten', 'hyperparameter': []}, {'layer': 'dense', 'hyperparameter': [{'param': 'units', 'type': <class 'int'>, 'default': 8}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}]",0.15839851275086403,0.940666913986206,0.8273809552192688,0.5007440596818924,0.4769790470600128,0.9402732191734295,0.13689782284200191,0.940666913986206,0.8392857015132904,0.47886789590120316,0.5007440447807312,0.9491584571694982
"['conv1d', 'conv1d', 'conv1d', 'conv1d']","[{'filters': 16, 'kernel_size': 3, 'activation': 'relu'}, {'filters': 8, 'kernel_size': 3, 'activation': 'relu'}, {'filters': 16, 'kernel_size': 3, 'activation': 'relu'}, {'filters': 16, 'kernel_size': 3, 'activation': 'relu'}]","['dense', 'dense']","[{'units': 4, 'activation': 'relu'}, {'units': 2, 'activation': 'relu'}]","(85, 1)","[{'layer': 'conv1d', 'hyperparameter': [{'param': 'filters', 'type': <class 'int'>, 'default': 16}, {'param': 'kernel_size', 'type': <class 'int'>, 'default': 3}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}, {'layer': 'maxpooling1d', 'hyperparameter': [{'param': 'pool_size', 'type': <class 'int'>, 'default': 2}]}, {'layer': 'flatten', 'hyperparameter': []}, {'layer': 'dense', 'hyperparameter': [{'param': 'units', 'type': <class 'int'>, 'default': 8}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}]",0.11375238932669163,0.9667473882436752,0.8273809552192688,0.5007440596818924,0.4813617542386055,0.9666282802245953,0.04639536840841174,0.9667473882436752,0.8392857015132904,0.48200638592243195,0.5007440447807312,0.9831179178464431
"['conv1d', 'conv1d', 'conv1d', 'conv1d']","[{'filters': 2, 'kernel_size': 2, 'activation': 'relu'}, {'filters': 4, 'kernel_size': 3, 'activation': 'relu'}, {'filters': 4, 'kernel_size': 2, 'activation': 'relu'}, {'filters': 2, 'kernel_size': 3, 'activation': 'relu'}]",['dense'],"[{'units': 4, 'activation': 'relu'}]","(85, 1)","[{'layer': 'conv1d', 'hyperparameter': [{'param': 'filters', 'type': <class 'int'>, 'default': 16}, {'param': 'kernel_size', 'type': <class 'int'>, 'default': 3}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}, {'layer': 'maxpooling1d', 'hyperparameter': [{'param': 'pool_size', 'type': <class 'int'>, 'default': 2}]}, {'layer': 'flatten', 'hyperparameter': []}, {'layer': 'dense', 'hyperparameter': [{'param': 'units', 'type': <class 'int'>, 'default': 8}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}]",0.15336118824779987,0.9444858431816101,0.8273809552192688,0.5007440596818924,0.4790249988436699,0.9441480272984383,0.12672726996243,0.9444858431816101,0.8392857015132904,0.4811480715870857,0.5007440447807312,0.953718623748287
"['conv1d', 'conv1d', 'conv1d']","[{'filters': 4, 'kernel_size': 2, 'activation': 'relu'}, {'filters': 4, 'kernel_size': 3, 'activation': 'relu'}, {'filters': 2, 'kernel_size': 2, 'activation': 'relu'}]","['dense', 'dense']","[{'units': 2, 'activation': 'relu'}, {'units': 4, 'activation': 'relu'}]","(85, 1)","[{'layer': 'conv1d', 'hyperparameter': [{'param': 'filters', 'type': <class 'int'>, 'default': 16}, {'param': 'kernel_size', 'type': <class 'int'>, 'default': 3}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}, {'layer': 'maxpooling1d', 'hyperparameter': [{'param': 'pool_size', 'type': <class 'int'>, 'default': 2}]}, {'layer': 'flatten', 'hyperparameter': []}, {'layer': 'dense', 'hyperparameter': [{'param': 'units', 'type': <class 'int'>, 'default': 8}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}]",0.1462600715458393,0.9465350061655045,0.8273809552192688,0.5007440596818924,0.4760542958974838,0.9467020671274623,0.12413107976317406,0.9465350061655045,0.8392857015132904,0.478596568107605,0.5007440447807312,0.9542261073044553
"['conv1d', 'conv1d', 'conv1d']","[{'filters': 2, 'kernel_size': 3, 'activation': 'relu'}, {'filters': 16, 'kernel_size': 3, 'activation': 'relu'}, {'filters': 16, 'kernel_size': 2, 'activation': 'relu'}]","['dense', 'dense']","[{'units': 8, 'activation': 'relu'}, {'units': 4, 'activation': 'relu'}]","(85, 1)","[{'layer': 'conv1d', 'hyperparameter': [{'param': 'filters', 'type': <class 'int'>, 'default': 16}, {'param': 'kernel_size', 'type': <class 'int'>, 'default': 3}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}, {'layer': 'maxpooling1d', 'hyperparameter': [{'param': 'pool_size', 'type': <class 'int'>, 'default': 2}]}, {'layer': 'flatten', 'hyperparameter': []}, {'layer': 'dense', 'hyperparameter': [{'param': 'units', 'type': <class 'int'>, 'default': 8}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}]",0.10399008356034756,0.967399388551712,0.8273809552192688,0.5007440596818924,0.4834444969892502,0.9675330988070747,0.03376135043799877,0.967399388551712,0.8392857015132904,0.4842621460556984,0.5007440447807312,0.9885316950555026
"['conv1d', 'conv1d', 'maxpooling1d', 'maxpooling1d']","[{'filters': 8, 'kernel_size': 2, 'activation': 'relu'}, {'filters': 2, 'kernel_size': 3, 'activation': 'relu'}, {'pool_size': 2}, {'pool_size': 2}]","['dense', 'dense']","[{'units': 8, 'activation': 'relu'}, {'units': 4, 'activation': 'relu'}]","(85, 1)","[{'layer': 'conv1d', 'hyperparameter': [{'param': 'filters', 'type': <class 'int'>, 'default': 16}, {'param': 'kernel_size', 'type': <class 'int'>, 'default': 3}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}, {'layer': 'maxpooling1d', 'hyperparameter': [{'param': 'pool_size', 'type': <class 'int'>, 'default': 2}]}, {'layer': 'flatten', 'hyperparameter': []}, {'layer': 'dense', 'hyperparameter': [{'param': 'units', 'type': <class 'int'>, 'default': 8}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}]",0.1956164836883545,0.9262295067310333,0.8273809552192688,0.5007440596818924,0.4689520299434662,0.926238263483907,0.17415111884474754,0.9262295067310333,0.8392857015132904,0.47217678278684616,0.5007440447807312,0.9346462291923501
"['conv1d', 'conv1d', 'conv1d', 'conv1d']","[{'filters': 16, 'kernel_size': 2, 'activation': 'relu'}, {'filters': 2, 'kernel_size': 3, 'activation': 'relu'}, {'filters': 4, 'kernel_size': 2, 'activation': 'relu'}, {'filters': 16, 'kernel_size': 3, 'activation': 'relu'}]","['dense', 'dense']","[{'units': 8, 'activation': 'relu'}, {'units': 8, 'activation': 'relu'}]","(85, 1)","[{'layer': 'conv1d', 'hyperparameter': [{'param': 'filters', 'type': <class 'int'>, 'default': 16}, {'param': 'kernel_size', 'type': <class 'int'>, 'default': 3}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}, {'layer': 'maxpooling1d', 'hyperparameter': [{'param': 'pool_size', 'type': <class 'int'>, 'default': 2}]}, {'layer': 'flatten', 'hyperparameter': []}, {'layer': 'dense', 'hyperparameter': [{'param': 'units', 'type': <class 'int'>, 'default': 8}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}]",0.10113531351089478,0.9647913575172424,0.8273809552192688,0.5007440596818924,0.47939717024564743,0.9648130311153096,0.04459805600345135,0.9647913575172424,0.8392857015132904,0.48153403401374817,0.5007440447807312,0.9842352621518
"['conv1d', 'conv1d', 'conv1d', 'conv1d']","[{'filters': 2, 'kernel_size': 2, 'activation': 'relu'}, {'filters': 8, 'kernel_size': 2, 'activation': 'relu'}, {'filters': 12, 'kernel_size': 2, 'activation': 'relu'}, {'filters': 12, 'kernel_size': 3, 'activation': 'relu'}]","['dense', 'dense']","[{'units': 4, 'activation': 'relu'}, {'units': 16, 'activation': 'relu'}]","(85, 1)","[{'layer': 'conv1d', 'hyperparameter': [{'param': 'filters', 'type': <class 'int'>, 'default': 16}, {'param': 'kernel_size', 'type': <class 'int'>, 'default': 3}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}, {'layer': 'maxpooling1d', 'hyperparameter': [{'param': 'pool_size', 'type': <class 'int'>, 'default': 2}]}, {'layer': 'flatten', 'hyperparameter': []}, {'layer': 'dense', 'hyperparameter': [{'param': 'units', 'type': <class 'int'>, 'default': 8}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}]",0.10744945704936981,0.9645119309425354,0.8273809552192688,0.5007440596818924,0.4830567389726639,0.9644126719208852,0.054751927964389324,0.9645119309425354,0.8392857015132904,0.4840336814522743,0.5007440447807312,0.98042187620951
"['maxpooling1d', 'conv1d', 'conv1d', 'conv1d']","[{'pool_size': 2}, {'filters': 8, 'kernel_size': 3, 'activation': 'relu'}, {'filters': 12, 'kernel_size': 2, 'activation': 'relu'}, {'filters': 8, 'kernel_size': 3, 'activation': 'relu'}]",['dense'],"[{'units': 8, 'activation': 'relu'}]","(85, 1)","[{'layer': 'conv1d', 'hyperparameter': [{'param': 'filters', 'type': <class 'int'>, 'default': 16}, {'param': 'kernel_size', 'type': <class 'int'>, 'default': 3}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}, {'layer': 'maxpooling1d', 'hyperparameter': [{'param': 'pool_size', 'type': <class 'int'>, 'default': 2}]}, {'layer': 'flatten', 'hyperparameter': []}, {'layer': 'dense', 'hyperparameter': [{'param': 'units', 'type': <class 'int'>, 'default': 8}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}]",0.1293773353099823,0.9546385854482651,0.8273809552192688,0.5007440596818924,0.48138565570116043,0.954945569528733,0.09092428721487522,0.9546385854482651,0.8392857015132904,0.48265060037374496,0.5007440447807312,0.965730215480164
"['conv1d', 'conv1d', 'conv1d', 'conv1d']","[{'filters': 8, 'kernel_size': 2, 'activation': 'relu'}, {'filters': 8, 'kernel_size': 3, 'activation': 'relu'}, {'filters': 12, 'kernel_size': 2, 'activation': 'relu'}, {'filters': 4, 'kernel_size': 3, 'activation': 'relu'}]","['dense', 'dense']","[{'units': 4, 'activation': 'relu'}, {'units': 16, 'activation': 'relu'}]","(85, 1)","[{'layer': 'conv1d', 'hyperparameter': [{'param': 'filters', 'type': <class 'int'>, 'default': 16}, {'param': 'kernel_size', 'type': <class 'int'>, 'default': 3}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}, {'layer': 'maxpooling1d', 'hyperparameter': [{'param': 'pool_size', 'type': <class 'int'>, 'default': 2}]}, {'layer': 'flatten', 'hyperparameter': []}, {'layer': 'dense', 'hyperparameter': [{'param': 'units', 'type': <class 'int'>, 'default': 8}, {'param': 'activation', 'type': <class 'str'>, 'default': 'linear'}]}]",0.1187623031437397,0.9585506618022919,0.8273809552192688,0.5007440596818924,0.4830256327986717,0.958632762816493,0.06455204915255308,0.9585506618022919,0.8392857015132904,0.4846898838877678,0.5007440447807312,0.9753332933339661
